"","project","language","article","access","agent","granularity","date","views"
"345","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-10,16444
"346","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-11,15687
"347","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-12,13644
"348","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-13,14748
"349","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-14,40013
"350","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-15,25210
"351","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-16,17809
"352","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-17,16973
"353","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-18,46520
"354","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-19,29252
"355","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-20,54613
"356","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-21,40238
"357","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-22,89659
"358","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-23,27105
"359","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-24,65005
"360","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-25,31004
"361","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-26,16067
"362","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-27,14808
"363","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-28,14266
"364","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-29,15134
"365","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-30,15691
"366","wikipedia","en","Facebook","mobile-web","user","daily",2016-10-31,14195
"367","wikipedia","en","Facebook","mobile-web","user","daily",2016-11-01,15395
"368","wikipedia","en","Facebook","mobile-web","user","daily",2016-11-02,16199
"369","wikipedia","en","Facebook","mobile-web","user","daily",2016-11-03,20326
"370","wikipedia","en","Facebook","mobile-web","user","daily",2016-11-04,24025
"371","wikipedia","en","Facebook","mobile-web","user","daily",2016-11-05,31403
"372","wikipedia","en","Facebook","mobile-web","user","daily",2016-11-06,20831
"373","wikipedia","en","Facebook","mobile-web","user","daily",2016-11-07,14454
"374","wikipedia","en","Facebook","mobile-web","user","daily",2016-11-08,14981
